id	study_algorithm_engine_id	el_criteria_has_criterion_id	path	sequence
1	1	7	1.2.12.7	1
2	1	8	1.2.13.8	2
3	1	3	1.3	3
4	1	7	1.4.12.7	4
5	1	8	1.4.13.8	5
6	1	8	1.5.13.8	6
7	1	9	1.6.13.8.9	7
8	1	11	1.6.13.8.10.11	8
9	2	18	14.15.16.17.18	1
10	2	18	14.19.16.17.18	2
11	2	21	14.15.16.20.17.21	3
12	2	21	14.19.16.20.17.21	4
13	2	23	14.15.20.22.23	5
14	2	23	14.19.20.22.23	6
15	2	25	14.15.20.22.24.25	7
16	2	25	14.19.20.22.24.25	8
17	2	26	14.15.20.22.24.26	9
18	2	26	14.19.20.22.24.26	10
19	2	36	14.34-OR-G1.36	11
20	2	37	14.35-OR-G1.37	12
21	2	38	14.38-OR-G2	13
22	2	39	14.39-OR-G2	14
23	2	466	14.466-OR-G2	15
24	2	40	14.40-AND-G3	16
25	2	41	14.41-AND-G3	17
26	2	42	14.42-AND-G3	18
27	2	43	14.43-AND-G3	19
28	2	44	14.44-AND-G3	20
29	2	45	14.45-AND-G3	21
30	2	46	14.416-OR-G4.46	22
31	2	417	14.417-OR-G4	23
32	2	47	14.47-OR-G5	24
33	2	49	14.25-OR-G5.48.49	25
34	2	50	14.450-OR-G6.50	26
35	2	451	14.451-OR-G6	27
36	2	51	14.452-OR-G7.51	28
37	2	453	14.453-OR-G7	29
38	2	52	14.52-OR-G8	30
39	2	54	14.53-OR-G8.54	31
40	2	55	14.501-OR-G9.55	32
41	2	476	14.476-OR-G9	33
42	2	57	14.498-OR-G10.499.56-OR-G11.57-OR-G11	34
43	2	474	14.498-OR-G10.474	35
44	2	473	14.473-OR-G10	36
45	2	475	14.475-OR-G12	37
46	2	71	14.500-OR-G12.30-OR-G13.59.71	38
47	2	72	14.500-OR-G12.30-OR-G13.60.61.72	39
48	2	73	14.500-OR-G12.30-OR-G13.62.63.73	40
49	2	74	14.500-OR-G12.30-OR-G13.64.65.74	41
50	2	75	14.500-OR-G12.30-OR-G13.66.67.75	42
51	2	76	14.500-OR-G12.30-OR-G13.68.69.76	43
52	2	76	14.500-OR-G12.30-OR-G13.70.76	44
53	2	71	14.500-OR-G12.33-OR-G13.59.71	45
54	2	72	14.500-OR-G12.33-OR-G13.60.61.72	46
55	2	73	14.500-OR-G12.33-OR-G13.62.63.73	47
56	2	74	14.500-OR-G12.33-OR-G13.64.65.74	48
57	2	75	14.500-OR-G12.33-OR-G13.30.66.67.75	49
58	2	78	14.500-OR-G12.33-OR-G13.68.69.78	50
59	2	78	14.500-OR-G12.33-OR-G13.70.78	51
60	2	79	14.500-OR-G12.79-OR-G13	52
61	3	84	80.81.82.83.84	1
62	3	84	80.85.82.83.84	2
63	3	87	80.81.86.87	3
64	3	87	80.85.86.87	4
65	3	95	80.95-OR-G1	5
66	3	97	80.95-OR-G1.96.97	6
67	3	99	80.95-OR-G1.98.99	7
68	3	101	80.100.101	8
69	3	467	80.102-OR-G2.103-OR-G2.467-OR-G2	9
70	3	104	80.104-AND-G3	10
71	3	105	80.105-AND-G3	11
72	3	106	80.106-AND-G3	12
73	3	107	80.107-AND-G3	13
74	3	108	80.108-AND-G3	14
75	3	109	80.109-AND-G3	15
76	3	111	80.502-OR-G4.503.110-OR-G5.111-OR-G5	16
77	3	478	80.502-OR-G4.478	17
78	3	477	80.477-OR-G4	18
79	3	127	80.504-OR-G5.505-AND-G6.94-OR-G7.115.127	19
80	3	128	80.504-OR-G5.505-AND-G6.94-OR-G7.116.117.128	20
81	3	129	80.504-OR-G5.505-AND-G6.94-OR-G7.118.119.129	21
82	3	130	80.504-OR-G5.505-AND-G6.94-OR-G7.120.121.130	22
83	3	131	80.504-OR-G5.505-AND-G6.94-OR-G7.122.123.131	23
84	3	132	80.504-OR-G5.505-AND-G6.94-OR-G7.124.125.132	24
85	3	133	80.504-OR-G5.505-AND-G6.94-OR-G7.126.133	25
86	3	127	80.504-OR-G5.505-AND-G6.91-OR-G7.115.127	26
87	3	128	80.504-OR-G5.505-AND-G6.91-OR-G7.116.117.128	27
