id	code	display_name	description	create_date	active	ontology_code_id	input_type_id
1	age	What is the patient's current age (in years)?	What is the patient's current age (in years)?		1		6
2	weight	What is the patient's current weight (in kg)?	What is the patient's current weight (in kg)?		1		4
3	sex	What is the patient's biological sex?	What is the patient's biological sex?		1		2
4	reproductive_potential	Has the patient reached reproductive potential?	Has the patient reached reproductive potential?		1		2
5	contraceptive_use	If the patient is sexually active, do they agree to use an effective contraceptive method or abstinence for the duration of their study participation?	If the patient is sexually active, do they agree to use an effective contraceptive method or abstinence for the duration of their study participation?		1		2
6	pregnant	Is the patient currently pregnant?	Is the patient currently pregnant?		1		2
7	breastfeeding	Is the patient lactating and planning on breastfeeding their infant(s)?	Is the patient lactating and planning on breastfeeding their infant(s)?		1		2
8	diagnosis	What is the patient's current diagnosis?	What is the patient's current diagnosis?		1		5
9	ever_refractory	Does the patient currently have, or have they in the past had, refractory disease?	Does the patient currently have, or have they in the past had, refractory disease?		1		2
10	count_refractory	How many occurrences of refractory disease, including the current if applicable?	How many occurrences of refractory disease, including the current if applicable?		1		1
11	current_refractory	Is the patient's disease currently refractory?	Is the patient's disease currently refractory?		1		2
12	current_refractory_num_cycles	Current disease is refractory to how many cycles of therapy?	Current disease is refractory to how many cycles of therapy?		1		1
13	ever_relapse	Does the patient currently have, or have they in the past had, confirmed or suspected relapse disease?	Does the patient currently have, or have they in the past had, confirmed or suspected relapse disease?		1		2
14	count_relapse	How many confirmed or suspected relapses, including the current if applicable?	How many confirmed or suspected relapses, including the current if applicable?		1		1
15	current_relapse	Is the patient currently in relapse (or suspected relapse)?	Is the patient currently in relapse (or suspected relapse)?		1		2
16	bm_recent	Was the patient able to provide a recent bone marrow draw?	Was the patient able to provide a recent bone marrow draw?		1		2
17	bm_recent_blast_pct_meas	What is the most recent measure of the patient's bone marrow blast percentage?	What is the most recent measure of the patient's bone marrow blast percentage?		1		3
