id	criterion_id	priority	active	version
1	1	1000	1	
3	3	2000	1	
2	2	3000	1	
8	8	4000	1	
9	9	5000	1	
11	11	6000	1	
12	12	7000	1	
10	10	8000	1	
13	13	9000	1	
15	15	10000	1	
14	14	11000	1	
81	81	12000	1	
4	4	13000	0	
16	16	14000	1	
5	5	15000	0	
17	17	16000	1	
6	6	17000	0	
82	82	18000	1	
7	7	19000	0	
100	100	20000	1	
83	83	21000	1	
24	24	22000	1	
37	37	23000	1	
33	33	24000	1	
30	30	25000	1	
31	31	26000	1	
32	32	27000	1	
84	84	28000	1	
85	85	29000	1	
22	22	30000	1	
28	28	31000	1	
101	101	32000	1	
86	86	33000	1	
25	25	34000	1	
26	26	35000	1	
35	35	36000	1	
102	102	37000	1	
103	103	38000	1	
34	34	39000	1	
148	148	40000	1	
27	27	41000	1	
151	151	42000	1	
20	20	43000	1	
18	18	44000	1	
19	19	45000	1	
21	21	46000	1	
23	23	47000	1	
29	29	48000	1	
36	36	49000	1	
38	38	50000	1	
58	58	51000	1	
117	117	52000	1	
39	39	53000	1	
89	89	54000	1	
51	51	55000	1	
52	52	56000	1	
118	118	57000	1	
40	40	58000	1	
123	123	59000	1	
44	44	60000	1	
124	124	61000	1	
45	45	62000	1	
136	136	63000	1	
91	91	64000	1	
126	126	65000	1	
47	47	66000	1	
128	128	67000	1	
49	49	68000	1	
125	125	69000	1	
46	46	70000	1	
127	127	71000	1	
48	48	72000	1	
119	119	73000	1	
41	41	74000	1	
120	120	75000	1	
87	87	76000	1	
121	121	77000	1	
42	42	78000	1	
122	122	79000	1	
43	43	80000	1	
129	129	81000	1	
104	104	82000	1	
130	130	83000	1	
50	50	84000	1	
131	131	85000	1	
88	88	86000	1	
132	132	87000	1	
53	53	88000	1	
135	135	89000	1	
90	90	90000	1	
137	137	91000	1	
105	105	92000	1	
138	138	93000	1	
106	106	94000	1	
139	139	95000	1	
107	107	96000	1	
92	92	97000	1	
141	141	98000	1	
108	108	99000	1	
59	59	100000	1	
60	60	101000	1	
109	109	102000	1	
62	62	103000	1	
93	93	104000	1	
64	64	105000	1	
94	94	106000	1	
110	110	107000	1	
133	133	108000	1	
54	54	109000	1	
134	134	110000	1	
55	55	111000	1	
56	56	112000	1	
140	140	113000	1	
57	57	114000	1	
61	61	115000	1	
63	63	116000	1	
142	142	117000	1	
143	143	118000	1	
65	65	119000	1	
66	66	120000	1	
144	144	121000	1	
67	67	122000	1	
145	145	123000	1	
68	68	124000	1	
69	69	125000	1	
95	95	126000	1	
111	111	127000	1	
112	112	128000	1	
113	113	129000	1	
114	114	130000	1	
115	115	131000	1	
146	146	132000	1	
70	70	133000	1	
71	71	134000	1	
72	72	135000	1	
73	73	136000	1	
74	74	137000	1	
96	96	138000	1	
149	149	139000	1	
75	75	140000	1	
147	147	141000	1	
76	76	142000	1	
97	97	143000	1	
98	98	144000	1	
99	99	145000	1	
116	116	146000	1	
150	150	147000	1	
78	78	148000	1	
80	80	149000	1	
77	77	150000	1	
79	79	151000	1	
